utterance,intent,weight
I'd like to hear music that's popular from Trick-trick on the Slacker service,PlayMusic,1
Play Making Out by Alexander Rosenbaum off Google Music.,PlayMusic,2
I want to hear Pamela Jintana Racine from 1986 on Lastfm,PlayMusic,1
is there something new you can play by Lola Monroe,PlayMusic,1
I want to hear something from Post-punk Revival,PlayMusic,2
Song from Brian Chase in 2004,PlayMusic,1
give me something from the fifties,PlayMusic,1
Play the top music from Epic Mazur.,PlayMusic,1
I want to hear track 34.,PlayMusic,1
I want something from the year 1961 that was on record from deezer,PlayMusic,1
Play some eighties music by Emil De Cou on Slacker,PlayMusic,1
Let's listen to Matthew Shipp.,PlayMusic,1
Play Natalie Maines 1959 concerto.,PlayMusic,1
put on a Serge Robert track,PlayMusic,1
Play some Hridaynath Mangeshkar,PlayMusic,1
Play music from Sleepy John Estes from 2002.,PlayMusic,1
Play a sound track from 1952.,PlayMusic,2
I want to hear music from Fonzworth Bentley using the service slacker with any song,PlayMusic,1
Open up Google Music and play anything.,PlayMusic,1
Play music from Youtube.,PlayMusic,2
Please play the album Prvi Poljubac by Hiroki Uchi on Youtube.,PlayMusic,1
I want to hear Merry Go Round by Gary Nichols from Groove Shark please.,PlayMusic,1
Play the top-twenty from Tony Calder off Slacker.,PlayMusic,2
Let me hear Wintley Phipps top fifty album.,PlayMusic,1
Play an album from 1956 off Spotify.,PlayMusic,1
play me some Dom Pachino,PlayMusic,1
See if Netflix has the Lightspeed Champion album boris,PlayMusic,1
Play a symphony from 1989,PlayMusic,1
I wish to listen to some fifties music.,PlayMusic,2
I want to hear music from 1993 on pandora.,PlayMusic,1
Put The Silent Enigma album by Yoko Kanno,PlayMusic,1
Please play Every Woman In Me,PlayMusic,2
play a good song by Baaba Maal on Lastfm,PlayMusic,1
Play bouncy techno from Lastfm.,PlayMusic,1
play In The Disco by Danny Hutton,PlayMusic,1
Play some lyn paul,PlayMusic,1
Play Ocean Beach from paul delay.,PlayMusic,1
Play music from the thirties by Swjatoslaw Wakartschuk.,PlayMusic,1
I would like to hear The Worst Is Yet To Come.,PlayMusic,1
I would like to hear something from Groove Shark,PlayMusic,1
Can you play nineties music from Paul Kelly?,PlayMusic,1
play the latest movement by Charlie Higgins,PlayMusic,1
Play some chant from 1974,PlayMusic,2
Go to Mick Fleetwood on my Vimeo,PlayMusic,1
Play a tune from 2007.,PlayMusic,1
Play some klezmer fiddle,PlayMusic,1
Play the Broom Of The Cowdenknowes.,PlayMusic,1
I want to hear my Entre los Andes playlist.,PlayMusic,1
Can you play some decent work by Timour Moutsouraev?,PlayMusic,1
Play some 1988 Harry T. Burleigh,PlayMusic,1
most popular song of taco ockerse,PlayMusic,1
Play Tennessee Saturday Night by Mr. Porter,PlayMusic,1
Please play a track from the nineties by any artist,PlayMusic,1
Can I hear Anna Vissi's new music on Pandora?,PlayMusic,2
let's listen to the 1986 sound track by Mike Park,PlayMusic,1
I want to hear the last album from Frank Iero,PlayMusic,1
Play them good songs by The Singing Nun,PlayMusic,1
Play them the greatest music by Chris Frantz.,PlayMusic,2
Play me a concerto by Jethro Burns from Zvooq,PlayMusic,2
Can you play some music by Abatte Barihun?,PlayMusic,1
I want to hear Shooby Taylor's Tearing Up The Album Charts.,PlayMusic,2
Play itunes and Vimeo music,PlayMusic,1
play something new by tansen,PlayMusic,1
Please play Last Fm from Le Jardin De Heavenly by Edward Leeson,PlayMusic,1
Open Itunes and play some twenties songs.,PlayMusic,1
play music from 1974,PlayMusic,1
Play some Grand Puba.,PlayMusic,1
Play the top fifty by Kate Bush.,PlayMusic,1
Play the Stephen Stills album Verge,PlayMusic,1
I need some Hardcore Hip Hop,PlayMusic,2
play the new Feist on deezer,PlayMusic,1
Play Gaston by Daniel De Los Reyes.,PlayMusic,1
Play Man Like Me by heather b.,PlayMusic,1
Put some of Patrick Lachman's eighties music on Zvooq,PlayMusic,1
"please, a sound track of Jyotsna Radhakrishnan",PlayMusic,1
Play some Darkcore.,PlayMusic,1
i want to listen to Say It Again by Blackstratblues,PlayMusic,1
Can I hear Jeremy Taggart's newest chant on Deezer?,PlayMusic,2
I would like to hear music from 1993,PlayMusic,2
I want to hear music from the top fifty by Yasuhiko Fukuda,PlayMusic,1
Play seventies music on Itunes,PlayMusic,1
Open up Last Fm and play me some Medieval Folk Rock,PlayMusic,1
I'd like to listen to mark rae,PlayMusic,1
play the most popular Bret Michaels record,PlayMusic,1
"I want to listen to Lastfm, play A Drop Of The Hard Stuff by Joi Chua.",PlayMusic,2
I wanna listen to Electroclash,PlayMusic,1
Play March 12 by John Moyer on Groove Shark.,PlayMusic,1
Play an ep from Preap Sovath.,PlayMusic,1
I want to listen to some music from 2003 on Pandora from them,PlayMusic,2
Play the Vic Damone album named Tuonela,PlayMusic,1
Play some nineties stuff from Clem Burke.,PlayMusic,1
Play a song from Lars Danielsson from the fourties using the service Last Fm,PlayMusic,1
Open Lastfm and sort by the top-fifty by the artist Korpiklaani.,PlayMusic,1
put th Power Gaming playlist,PlayMusic,1
something on Spotify please,PlayMusic,2
Play some concerto from T. S. Monk.,PlayMusic,1
Can you play the Star Tales album by Colleen?,PlayMusic,1
Play some G. V. Prakash Kumar,PlayMusic,1
Play Got Djent?,PlayMusic,1
"I want to hear Jimmy James from the thirties, play a song on Groove Shark.",PlayMusic,2
I want to play music from 1979 on Groove Shark.,PlayMusic,1
Please play something from the twenties google music,PlayMusic,1
Play a song from 1994.,PlayMusic,2
Please play a song from Jesse Harris that's on Youtube,PlayMusic,1
Play music from Linzi Stoppard in 1994 from itunes.,PlayMusic,1
Please play something from the fifties by Roscoe,PlayMusic,1
Play a ballad by Project Pat on google music.,PlayMusic,1
can i lesten to the latest album of T-bone Burnett,PlayMusic,1
Play chant music from 2016 off Pandora.,PlayMusic,1
Play some good music from Jamelia.,PlayMusic,1
Play Alabama Concerto by Kou Shibasaki.,PlayMusic,1
Play some good symphony music from Avispa.,PlayMusic,1
I want to hear the greatest hits from King Ov Hell on vimeo ,PlayMusic,1
Play Pandora on Last Fm,PlayMusic,1
Let's listen to the best from Jeff Loomis.,PlayMusic,1
Play Goldie Hill's record on Google Music.,PlayMusic,2
Please play Jim Martin on Vimeo.,PlayMusic,2
Play Bonnie Annie by Tolmatschowa-schwestern on last fm.,PlayMusic,1
Play my Women of Rock playlist.,PlayMusic,2
I want to hear Nellie Mckay's new music.,PlayMusic,1
Play Moris Tepper,PlayMusic,2
I need a SOUNDTRACK FOR STUDY purposes.,PlayMusic,1
Play concerto music by Nicholaus Arson.,PlayMusic,1
Can you play Slacker?,PlayMusic,1
Play Maria Severa Onofriana and sort by most popular.,PlayMusic,1
I'm looking for a movement by Asim Brkan that's on Netflix best channel,PlayMusic,1
Use Youtube to play the soundtrack from Manos Hadzidakis.,PlayMusic,1
Play Too Much Rain by the artist D-loc.,PlayMusic,1
Play something by Louisiana Blues,PlayMusic,2
play This Is Colour by Panda Bear,PlayMusic,2
Please play some nineties music by Tommy Johnson.,PlayMusic,1
Play from the top record from 1973 by Olexandr Ponomarjow.,PlayMusic,1
Play rock like war from Mohammad Reza Lotfi please,PlayMusic,1
Play something by the artist Jenifer from 2003,PlayMusic,1
Please play my Happy House playlist.,PlayMusic,1
Play Ashita E by Ian Anderson,PlayMusic,1
